タスク大分類,タスク大分類説明,タスク中分類,タスク小分類,評価項目,評価項目説明,表示順,作成日,変更日,削除日,最終更新日,重複対象タスク中分類識別子,重複対象タスク小分類識別子,重複対象評価項目識別子,営農１年目,営農２年目,営農,農場長,営業,事務,総務,顧問,管理者
,,,,,,0,,,,,,,,PIC1,PIC2,PIC,FMMG,SLS,OW1,OW2,ADV,MG
露地野菜作＞共通,,育苗,播種,播種の一連の流れを把握する,,1,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,育苗,潅水,潅水を理解し適切な方法を行う,,2,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,育苗,追肥,追肥の理由を理解し適切な方法を行う,,3,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,育苗,防除,防除の理由を理解し適切な方法を行う,,4,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,育苗,試験（品種・培土）,試験の理由を理解し適切な方法を行う,,5,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,育苗,ハウス管理（温度）,外的要因を把握し適切な方法を行う,,6,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,育苗,慣らし,慣らしの理由を理解し適切な方法を行う,,7,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,耕耘,耕盤破砕,圃場状況を確認し、耕盤破砕を行うか判断する,圃場を見た際に耕盤破砕の必要有無を判断するための知識が求められる。,8,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,耕耘,耕盤破砕,サブソイラを操作する,サブソイラを操作するための知識及び技術が求められる。,9,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,耕耘,深耕反転,深耕反転を行う目的を理解する圃場状況を確認し、深耕反転を行うか判断する,圃場を見た際に深耕反転の必要有無を判断するための知識が求められる。,10,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,耕耘,深耕反転,プラウを目的に応じて操作する,プラウを操作するための知識及び技術が求められる。,11,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,耕耘,耕起,耕起を行う目的を理解する圃場状況を確認し、耕起を行うか判断する,圃場の形から耕起,12,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,耕耘,耕起,ロータリーを操作する,,,,,,,,,,,,,,,,,,
露地野菜作＞共通,,耕耘,耕起,ロータリー・ディスクハローを操作する,,13,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,耕耘,整地,整地を行う目的を理解する圃場状況を確認し、整地を行うか判断する,,14,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,耕耘,整地,ロータリー・ディスクハロー・グレーダーを操作する,,15,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,耕耘,徐礫（じょれき）,徐礫（じょれき）を行う目的を理解する圃場状況を確認し、徐礫（じょれき）を行うか判断する,,16,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,耕耘,徐礫（じょれき）,ストーンピッカーを操作する,,17,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通,,耕耘,徐礫（じょれき）,石拾いをする,,18,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通キャベツ,,耕耘,畝たて（うねたて）,畝たて（うねたて）を行う目的を理解する圃場状況と播種定植計画を確認し、畝たてを行うか判断する,,19,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
露地野菜作＞共通キャベツ,,耕耘,畝たて（うねたて）,管理機、マルチャーを操作する,,20,2024/4/8,2024/4/8,,,,,,◎,◎,◎,◎,,,,◎,◎
